,end,start,tweet_count
0,2018-01-02T00:00:00.000Z,2018-01-01T00:00:00.000Z,90414
1,2018-01-03T00:00:00.000Z,2018-01-02T00:00:00.000Z,125905
2,2018-01-04T00:00:00.000Z,2018-01-03T00:00:00.000Z,134825
3,2018-01-05T00:00:00.000Z,2018-01-04T00:00:00.000Z,126106
4,2018-01-06T00:00:00.000Z,2018-01-05T00:00:00.000Z,115883
5,2018-01-07T00:00:00.000Z,2018-01-06T00:00:00.000Z,90549
6,2018-01-08T00:00:00.000Z,2018-01-07T00:00:00.000Z,99180
7,2018-01-09T00:00:00.000Z,2018-01-08T00:00:00.000Z,120441
8,2018-01-10T00:00:00.000Z,2018-01-09T00:00:00.000Z,131821
9,2018-01-11T00:00:00.000Z,2018-01-10T00:00:00.000Z,136463
10,2018-01-12T00:00:00.000Z,2018-01-11T00:00:00.000Z,156445
11,2018-01-13T00:00:00.000Z,2018-01-12T00:00:00.000Z,128308
12,2018-01-14T00:00:00.000Z,2018-01-13T00:00:00.000Z,101260
13,2018-01-15T00:00:00.000Z,2018-01-14T00:00:00.000Z,93902
14,2018-01-16T00:00:00.000Z,2018-01-15T00:00:00.000Z,114365
15,2018-01-17T00:00:00.000Z,2018-01-16T00:00:00.000Z,165097
16,2018-01-18T00:00:00.000Z,2018-01-17T00:00:00.000Z,209821
17,2018-01-19T00:00:00.000Z,2018-01-18T00:00:00.000Z,150004
18,2018-01-20T00:00:00.000Z,2018-01-19T00:00:00.000Z,136143
19,2018-01-21T00:00:00.000Z,2018-01-20T00:00:00.000Z,105229
20,2018-01-22T00:00:00.000Z,2018-01-21T00:00:00.000Z,97867
21,2018-01-23T00:00:00.000Z,2018-01-22T00:00:00.000Z,124124
22,2018-01-24T00:00:00.000Z,2018-01-23T00:00:00.000Z,133165
23,2018-01-25T00:00:00.000Z,2018-01-24T00:00:00.000Z,151459
24,2018-01-26T00:00:00.000Z,2018-01-25T00:00:00.000Z,161122
25,2018-01-27T00:00:00.000Z,2018-01-26T00:00:00.000Z,124701
26,2018-01-28T00:00:00.000Z,2018-01-27T00:00:00.000Z,97156
27,2018-01-29T00:00:00.000Z,2018-01-28T00:00:00.000Z,92610
28,2018-01-30T00:00:00.000Z,2018-01-29T00:00:00.000Z,108847
29,2018-02-01T00:00:00.000Z,2018-01-31T00:00:00.000Z,127143
30,2018-02-02T00:00:00.000Z,2018-02-01T00:00:00.000Z,137124
31,2018-02-03T00:00:00.000Z,2018-02-02T00:00:00.000Z,157484
32,2018-02-04T00:00:00.000Z,2018-02-03T00:00:00.000Z,110923
33,2018-02-05T00:00:00.000Z,2018-02-04T00:00:00.000Z,104837
34,2018-02-06T00:00:00.000Z,2018-02-05T00:00:00.000Z,156450
35,2018-02-07T00:00:00.000Z,2018-02-06T00:00:00.000Z,179395
36,2018-02-08T00:00:00.000Z,2018-02-07T00:00:00.000Z,129332
37,2018-02-09T00:00:00.000Z,2018-02-08T00:00:00.000Z,121824
38,2018-02-10T00:00:00.000Z,2018-02-09T00:00:00.000Z,108548
39,2018-02-11T00:00:00.000Z,2018-02-10T00:00:00.000Z,92251
40,2018-02-12T00:00:00.000Z,2018-02-11T00:00:00.000Z,90965
41,2018-02-13T00:00:00.000Z,2018-02-12T00:00:00.000Z,103441
42,2018-02-14T00:00:00.000Z,2018-02-13T00:00:00.000Z,106382
43,2018-02-15T00:00:00.000Z,2018-02-14T00:00:00.000Z,104948
44,2018-02-16T00:00:00.000Z,2018-02-15T00:00:00.000Z,104081
45,2018-02-17T00:00:00.000Z,2018-02-16T00:00:00.000Z,106928
46,2018-02-18T00:00:00.000Z,2018-02-17T00:00:00.000Z,84536
47,2018-02-19T00:00:00.000Z,2018-02-18T00:00:00.000Z,84335
48,2018-02-20T00:00:00.000Z,2018-02-19T00:00:00.000Z,96935
49,2018-02-21T00:00:00.000Z,2018-02-20T00:00:00.000Z,110007
50,2018-02-22T00:00:00.000Z,2018-02-21T00:00:00.000Z,101378
51,2018-02-23T00:00:00.000Z,2018-02-22T00:00:00.000Z,95588
52,2018-02-24T00:00:00.000Z,2018-02-23T00:00:00.000Z,88947
53,2018-02-25T00:00:00.000Z,2018-02-24T00:00:00.000Z,77639
54,2018-02-26T00:00:00.000Z,2018-02-25T00:00:00.000Z,77995
55,2018-02-27T00:00:00.000Z,2018-02-26T00:00:00.000Z,91399
56,2018-02-28T00:00:00.000Z,2018-02-27T00:00:00.000Z,96115
