date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,UpperBB,LowerBB,volatility,rsi,macd
2016-09-02,572.409973,575.643005,570.810974,575.536987,575.536987,79910800.0,79910800.0,3.12701,0.546,573.99699,"September 02, 16",0.00546,,,,,NaN
2016-09-03,575.554993,599.5,574.05603,598.211975,598.211975,159014000.0,159014000.0,22.65698,3.937,590.58934,"September 03, 16",0.03937,,,,,NaN
2016-09-04,598.590027,611.836975,596.848022,608.633972,608.633972,97942896.0,97942896.0,10.04395,1.678,605.77299,"September 04, 16",0.01678,,,,,NaN
2016-09-05,608.98999,609.054993,602.242004,606.590027,606.590027,82446800.0,82446800.0,-2.39996,-0.394,605.96234,"September 05, 16",-0.00394,,,,,NaN
2016-09-06,606.505981,610.830017,605.091003,610.435974,610.435974,78529104.0,78529104.0,3.92999,0.648,608.78566,"September 06, 16",0.00648,,,,,NaN
2016-09-07,610.572998,614.544983,608.513,614.544006,614.544006,75032400.0,75032400.0,3.97101,0.65,612.534,"September 07, 16",0.0065,,,,,NaN
2016-09-08,614.63501,628.77002,613.843994,626.315979,626.315979,86713000.0,86713000.0,11.68097,1.9,622.97666,"September 08, 16",0.019,,,,,NaN
2016-09-09,626.35199,626.830017,620.263,622.861023,622.861023,64550200.0,64550200.0,-3.49097,-0.557,623.31801,"September 09, 16",-0.00557,,,,,NaN
2016-09-10,622.927002,625.094971,622.39502,623.508972,623.508972,45016800.0,45016800.0,0.58197,0.093,623.66632,"September 10, 16",0.00093,,,,,NaN
2016-09-11,623.424011,628.817993,600.505981,606.718994,606.718994,73610800.0,73610800.0,-16.70502,-2.68,612.01432,"September 11, 16",-0.0268,,,,,NaN
2016-09-12,607.005005,608.458984,605.411011,608.242981,608.242981,72812304.0,72812304.0,1.23798,0.204,607.37099,"September 12, 16",0.00204,,,,,NaN
2016-09-13,608.025024,611.192993,606.924988,609.241028,609.241028,86920600.0,86920600.0,1.216,0.2,609.11967,"September 13, 16",0.002,,,,,NaN
2016-09-14,608.841003,611.952026,608.409973,610.684021,610.684021,47877700.0,47877700.0,1.84302,0.303,610.34867,"September 14, 16",0.00303,,,,,NaN
2016-09-15,610.588013,611.085999,607.155029,607.155029,607.155029,59464600.0,59464600.0,-3.43298,-0.562,608.46535,"September 15, 16",-0.00562,,,11.919182182501208,,NaN
2016-09-16,607.245972,609.260986,606.734985,606.973022,606.973022,64963400.0,64963400.0,-0.27295,-0.045,607.65633,"September 16, 16",-0.00045,,,7.514960069851814,59.96321690452526,NaN
2016-09-17,607.218018,607.859985,605.192017,605.984009,605.984009,37140300.0,37140300.0,-1.23401,-0.203,606.34534,"September 17, 16",-0.00203,,,6.767385396360278,58.57638216504393,NaN
2016-09-18,606.28302,610.15802,605.856018,609.874023,609.874023,48679400.0,48679400.0,3.591,0.592,608.62935,"September 18, 16",0.00592,,,6.73086984748698,62.27239036055865,NaN
2016-09-19,609.870972,610.932007,608.27002,609.22699,609.22699,54796400.0,54796400.0,-0.64398,-0.106,609.47634,"September 19, 16",-0.00106,,,6.610404568308131,61.2927782253275,NaN
2016-09-20,609.254028,609.525024,607.937988,608.312012,608.312012,72710896.0,72710896.0,-0.94202,-0.155,608.59167,"September 20, 16",-0.00155,,,6.6747917857911006,59.85875816531729,NaN
2016-09-21,603.588013,603.588013,595.882996,597.148987,597.148987,82776200.0,82776200.0,-6.43903,-1.067,598.87333,"September 21, 16",-0.01067,,,7.654539814834977,45.78462862249988,NaN
2016-09-22,597.278992,598.487,596.213013,596.297974,596.297974,67085300.0,67085300.0,-0.98102,-0.164,596.99933,"September 22, 16",-0.00164,,,7.220892826654296,44.91756879810116,NaN
2016-09-23,596.198975,603.205017,595.786011,602.84198,602.84198,51067000.0,51067000.0,6.64301,1.114,600.611,"September 23, 16",0.01114,,,6.189629201365382,52.38491236703084,NaN
2016-09-24,602.960999,604.580017,602.044983,602.625,602.625,35359500.0,35359500.0,-0.336,-0.056,603.08333,"September 24, 16",-0.00056,,,4.345465691654939,52.1325510938978,NaN
2016-09-25,602.749023,603.380981,599.710999,600.825989,600.825989,33977800.0,33977800.0,-1.92303,-0.319,601.30599,"September 25, 16",-0.00319,,,4.518887540417496,49.98257366756323,NaN
2016-09-26,600.807007,608.143005,600.348999,608.04303,608.04303,59153800.0,59153800.0,7.23602,1.204,605.51168,"September 26, 16",0.01204,,,4.510149398368919,57.546517292801276,NaN
2016-09-27,608.021973,608.247986,604.109985,606.166016,606.166016,49422400.0,49422400.0,-1.85596,-0.305,606.17466,"September 27, 16",-0.00305,,,4.389736133491709,55.20809611571184,NaN
2016-09-28,606.242981,606.590027,604.606995,604.728027,604.728027,48722600.0,48722600.0,-1.51495,-0.25,605.30835,"September 28, 16",-0.0025,,,4.11309069797144,53.4172512675322,2.4378445948336775
2016-09-29,605.018982,606.823975,604.848022,605.692993,605.692993,55658600.0,55658600.0,0.67401,0.111,605.78833,"September 29, 16",0.00111,,,4.06847969053304,54.48423589003565,2.342720002522924
2016-09-30,605.715027,609.734985,604.142029,609.734985,609.734985,56122400.0,56122400.0,4.01996,0.664,607.87067,"September 30, 16",0.00664,,,4.2408991118784,58.74669226142697,2.5639326324502463
2016-10-01,609.929016,615.237,609.929016,613.982971,613.982971,56357000.0,56357000.0,4.05395,0.665,613.04966,"October 01, 16",0.00665,,,4.853591272570564,62.70015332508967,3.0468994435618697
2016-10-02,613.947998,614.005005,609.682007,610.892029,610.892029,39249800.0,39249800.0,-3.05597,-0.498,611.52635,"October 02, 16",-0.00498,,,4.927247514380838,58.320568891322075,3.1439988717141887
2016-10-03,610.968018,612.567993,610.455017,612.132996,612.132996,46798300.0,46798300.0,1.16498,0.191,611.71867,"October 03, 16",0.00191,,,5.13803339635792,59.542419932721586,3.283239393808344
2016-10-04,612.052002,612.054016,609.479004,610.203979,610.203979,49801600.0,49801600.0,-1.84802,-0.302,610.579,"October 04, 16",-0.00302,,,5.229724915432066,56.7570871844755,3.2010334393941093
